date,province,confirmed,released,deceased
2월11일,경기도,2,2,0
2월12일,경기도,0,0,0
2월13일,경기도,0,2,0
2월14일,경기도,0,0,0
2월15일,경기도,0,0,0
2월16일,경기도,0,0,0
2월17일,경기도,0,0,0
2월18일,경기도,0,0,0
2월19일,경기도,0,2,0
2월20일,경기도,0,0,0
2월21일,경기도,2,0,0
2월22일,경기도,6,0,0
2월23일,경기도,4,0,0
2월24일,경기도,11,0,0
2월25일,경기도,7,1,0
2월26일,경기도,9,0,1
2월27일,경기도,11,0,0
2월28일,경기도,10,0,0
2월29일,경기도,10,0,0
3월1일,경기도,7,0,0
3월2일,경기도,3,0,0
3월3일,경기도,2,0,0
3월4일,경기도,7,1,0
3월5일,경기도,9,1,0
3월6일,경기도,10,4,0
3월7일,경기도,10,0,0
3월8일,경기도,11,2,0
3월9일,경기도,12,6,0
3월10일,경기도,10,0,0
3월11일,경기도,12,3,0
3월12일,경기도,3,2,0
3월13일,경기도,7,4,1
3월14일,경기도,15,5,1
3월15일,경기도,11,4,0
3월16일,경기도,20,8,0
3월17일,경기도,31,7,0
3월18일,경기도,15,4,0
3월19일,경기도,18,5,0
3월20일,경기도,14,2,0
3월21일,경기도,12,13,0
3월22일,경기도,16,3,0
3월23일,경기도,14,6,0
3월24일,경기도,15,9,1
3월25일,경기도,21,3,0
3월26일,경기도,14,22,0
3월27일,경기도,11,9,0
3월28일,경기도,21,9,1
3월29일,경기도,15,4,0
3월30일,경기도,15,16,0
3월31일,경기도,13,6,1
4월1일,경기도,23,5,0
4월2일,경기도,17,10,0
4월3일,경기도,23,5,0
4월4일,경기도,23,14,0
4월5일,경기도,10,8,1
4월6일,경기도,8,5,0
4월7일,경기도,10,13,0
4월8일,경기도,6,11,3
4월9일,경기도,10,22,1
4월10일,경기도,9,10,0
4월11일,경기도,9,17,0
4월12일,경기도,4,6,1
4월13일,경기도,3,13,1
4월14일,경기도,8,8,0
4월15일,경기도,6,9,0
4월16일,경기도,4,8,1
4월17일,경기도,1,10,0
4월18일,경기도,4,21,0
4월19일,경기도,0,9,0
4월20일,경기도,2,17,0
4월21일,경기도,2,11,0
4월22일,경기도,0,6,0
4월23일,경기도,1,20,0
4월24일,경기도,1,17,0
4월25일,경기도,2,7,0
